2018-06-11 12:19:23 [py.warnings] WARNING: /home/moma/Documents/spider/coupon_new/coupon/coupon/pipelines.py:18: ScrapyDeprecationWarning: Module `scrapy.log` has been deprecated, Scrapy now relies on the builtin Python library for logging. Read the updated logging entry in the documentation to learn more.
  from scrapy import log

2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1005993073992757250, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006067400742141952, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006105786567847936, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006096011477934080, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006020514090045442, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006132727647735808, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006016676272357376, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006152512079056896, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006072095632224257, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006103746680623105, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006122913966288896, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006100923461111808, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006162169115889665, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006040884167806977, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006156730240290816, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006006703140188160, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006105929048305664, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1005993622590902272, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006023239527694336, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006150888627589120, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006070546445099008, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006125158438846464, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006061592222552064, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006098863269310465, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006163697151209472, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006102122067365888, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006068979251675137, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006016573578960896, status code 429
